match_id,innings,batting_team,runs,wickets,legal_balls,overs,extras
1082591,1,Sunrisers Hyderabad,207,4,120,20.0,7
1082591,2,Royal Challengers Bangalore,172,10,118,19.7,6
1082592,1,Mumbai Indians,184,8,120,20.0,8
1082592,2,Rising Pune Supergiant,187,3,119,19.8,4
1082593,1,Gujarat Lions,183,4,120,20.0,4
1082593,2,Kolkata Knight Riders,184,0,89,14.8,15
1082594,1,Rising Pune Supergiant,163,6,120,20.0,6
1082594,2,Kings XI Punjab,164,4,114,19.0,10
1082595,1,Royal Challengers Bangalore,157,8,120,20.0,6
1082595,2,Delhi Daredevils,142,9,120,20.0,5
1082596,1,Gujarat Lions,135,7,120,20.0,3
1082596,2,Sunrisers Hyderabad,140,1,93,15.5,3
1082597,1,Kolkata Knight Riders,178,7,120,20.0,9
1082597,2,Mumbai Indians,180,6,119,19.8,12
1082598,1,Royal Challengers Bangalore,148,4,120,20.0,4
1082598,2,Kings XI Punjab,150,2,87,14.5,6
1082599,1,Delhi Daredevils,205,4,120,20.0,8
1082599,2,Rising Pune Supergiant,108,10,97,16.2,5
1082600,1,Sunrisers Hyderabad,158,8,120,20.0,11
1082600,2,Mumbai Indians,159,6,112,18.7,4
1082601,1,Kings XI Punjab,170,9,120,20.0,16
1082601,2,Kolkata Knight Riders,171,2,99,16.5,11
1082602,1,Royal Challengers Bangalore,142,5,120,20.0,11
1082602,2,Mumbai Indians,145,6,113,18.8,13
1082603,1,Rising Pune Supergiant,171,8,120,20.0,5
1082603,2,Gujarat Lions,172,3,108,18.0,5
1082604,1,Kolkata Knight Riders,172,6,120,20.0,11
1082604,2,Sunrisers Hyderabad,155,6,120,20.0,7
1082605,1,Delhi Daredevils,188,6,120,20.0,10
1082605,2,Kings XI Punjab,137,9,120,20.0,2
1082606,1,Gujarat Lions,176,4,120,20.0,11
1082606,2,Mumbai Indians,177,4,117,19.5,13
1082607,1,Rising Pune Supergiant,161,8,120,20.0,13
1082607,2,Royal Challengers Bangalore,134,9,120,20.0,8
1082608,1,Delhi Daredevils,168,7,120,20.0,3
1082608,2,Kolkata Knight Riders,169,6,119,19.8,11
1082609,1,Sunrisers Hyderabad,159,6,120,20.0,11
1082609,2,Kings XI Punjab,154,10,118,19.7,10
1082610,1,Royal Challengers Bangalore,213,2,120,20.0,4
1082610,2,Gujarat Lions,192,7,120,20.0,8
1082611,1,Sunrisers Hyderabad,191,4,120,20.0,4
1082611,2,Delhi Daredevils,176,5,120,20.0,7
1082612,1,Kings XI Punjab,198,4,120,20.0,12
1082612,2,Mumbai Indians,199,2,93,15.5,8
1082613,1,Kolkata Knight Riders,187,5,120,20.0,3
1082613,2,Gujarat Lions,188,6,110,18.3,5
1082614,1,Mumbai Indians,142,8,120,20.0,16
1082614,2,Delhi Daredevils,128,7,120,20.0,8
1082615,1,Sunrisers Hyderabad,176,3,120,20.0,8
1082615,2,Rising Pune Supergiant,179,4,120,20.0,3
1082616,1,Kings XI Punjab,188,7,120,20.0,5
1082616,2,Gujarat Lions,162,7,120,20.0,7
1082617,1,Kolkata Knight Riders,131,10,117,19.5,8
1082617,2,Royal Challengers Bangalore,49,10,58,9.7,7
1082618,1,Rising Pune Supergiant,160,6,120,20.0,4
1082618,2,Mumbai Indians,157,8,120,20.0,6
1082620,1,Rising Pune Supergiant,182,5,120,20.0,7
1082620,2,Kolkata Knight Riders,184,3,109,18.2,13
1082621,1,Royal Challengers Bangalore,134,10,120,20.0,12
1082621,2,Gujarat Lions,135,3,83,13.8,8
1082622,1,Delhi Daredevils,160,6,120,20.0,7
1082622,2,Kolkata Knight Riders,161,3,98,16.3,10
1082623,1,Sunrisers Hyderabad,207,3,120,20.0,3
1082623,2,Kings XI Punjab,181,9,120,20.0,5
1082624,1,Rising Pune Supergiant,157,3,120,20.0,4
1082624,2,Royal Challengers Bangalore,96,9,120,20.0,4
1082625,1,Gujarat Lions,153,9,120,20.0,11
1082625,2,Mumbai Indians,153,10,120,20.0,1
1082625,3,Mumbai Indians,11,2,5,0.8,0
1082625,4,Gujarat Lions,6,0,6,1.0,4
1082626,1,Delhi Daredevils,67,10,103,17.2,5
1082626,2,Kings XI Punjab,68,0,47,7.8,2
1082627,1,Sunrisers Hyderabad,209,3,120,20.0,8
1082627,2,Kolkata Knight Riders,161,7,120,20.0,5
