match_id,season,date,city,venue,team1,team2,teams,toss_winner,toss_decision,winner,result,win_by_runs,win_by_wickets,method,player_of_match,umpire1,umpire2,overs,balls_per_over,match_type,event_name,event_stage,event_match_number
392181,2009,18-04-2009,Cape Town,Newlands,Chennai Super Kings,Mumbai Indians,Chennai Super Kings; Mumbai Indians,Chennai Super Kings,field,Mumbai Indians,,19,,,SR Tendulkar,BR Doctrove,K Hariharan,20,6,T20,Indian Premier League,,1
392182,2009,18-04-2009,Cape Town,Newlands,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore; Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,,75,,,R Dravid,BR Doctrove,RB Tiffin,20,6,T20,Indian Premier League,,2
392183,2009,19-04-2009,Cape Town,Newlands,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils; Kings XI Punjab,Delhi Daredevils,field,Delhi Daredevils,,,10,D/L,DL Vettori,MR Benson,SD Ranade,20,6,T20,Indian Premier League,,3
392184,2009,19-04-2009,Cape Town,Newlands,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers; Kolkata Knight Riders,Kolkata Knight Riders,bat,Deccan Chargers,,,8,,RP Singh,MR Benson,BR Doctrove,20,6,T20,Indian Premier League,,4
392185,2009,20-04-2009,Port Elizabeth,St George's Park,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore; Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,,92,,,M Muralitharan,BG Jerling,SJA Taufel,20,6,T20,Indian Premier League,,5
392186,2009,21-04-2009,Durban,Kingsmead,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab; Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,,11,,D/L,CH Gayle,DJ Harper,SD Ranade,20,6,T20,Indian Premier League,,6
392188,2009,22-04-2009,Cape Town,Newlands,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore; Deccan Chargers,Deccan Chargers,bat,Deccan Chargers,,24,,,AC Gilchrist,M Erasmus,AM Saheba,20,6,T20,Indian Premier League,,8
392189,2009,23-04-2009,Durban,Kingsmead,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings; Delhi Daredevils,Delhi Daredevils,bat,Delhi Daredevils,,9,,,AB de Villiers,BR Doctrove,SJA Taufel,20,6,T20,Indian Premier League,,9
392190,2009,23-04-2009,Cape Town,Newlands,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders; Rajasthan Royals,Kolkata Knight Riders,field,,tie,,,,YK Pathan,MR Benson,M Erasmus,20,6,T20,Indian Premier League,,10
392191,2009,24-04-2009,Durban,Kingsmead,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore; Kings XI Punjab,Royal Challengers Bangalore,bat,Kings XI Punjab,,,7,,RS Bopara,BR Doctrove,TH Wijewardene,20,6,T20,Indian Premier League,,11
392192,2009,25-04-2009,Durban,Kingsmead,Deccan Chargers,Mumbai Indians,Deccan Chargers; Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,,12,,,PP Ojha,HDPK Dharmasena,SJA Taufel,20,6,T20,Indian Premier League,,12
392194,2009,26-04-2009,Port Elizabeth,St George's Park,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore; Delhi Daredevils,Royal Challengers Bangalore,bat,Delhi Daredevils,,,6,,TM Dilshan,S Asnani,BG Jerling,20,6,T20,Indian Premier League,,14
392195,2009,26-04-2009,Cape Town,Newlands,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab; Rajasthan Royals,Kings XI Punjab,bat,Kings XI Punjab,,27,,,KC Sangakkara,M Erasmus,K Hariharan,20,6,T20,Indian Premier League,,15
392196,2009,27-04-2009,Durban,Kingsmead,Chennai Super Kings,Deccan Chargers,Chennai Super Kings; Deccan Chargers,Deccan Chargers,field,Deccan Chargers,,,6,,HH Gibbs,IL Howell,TH Wijewardene,20,6,T20,Indian Premier League,,16
392197,2009,27-04-2009,Port Elizabeth,St George's Park,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders; Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,,92,,,SR Tendulkar,BG Jerling,RB Tiffin,20,6,T20,Indian Premier League,,17
392198,2009,28-04-2009,Centurion,SuperSport Park,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils; Rajasthan Royals,Delhi Daredevils,bat,Rajasthan Royals,,,5,,YK Pathan,GAV Baxter,RE Koertzen,20,6,T20,Indian Premier League,,18
392199,2009,29-04-2009,Durban,Kingsmead,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore; Kolkata Knight Riders,Kolkata Knight Riders,bat,Royal Challengers Bangalore,,,5,,MV Boucher,MR Benson,TH Wijewardene,20,6,T20,Indian Premier League,,19
392200,2009,29-04-2009,Durban,Kingsmead,Kings XI Punjab,Mumbai Indians,Kings XI Punjab; Mumbai Indians,Kings XI Punjab,bat,Kings XI Punjab,,3,,,KC Sangakkara,MR Benson,SL Shastri,20,6,T20,Indian Premier League,,20
392201,2009,30-04-2009,Centurion,SuperSport Park,Deccan Chargers,Delhi Daredevils,Deccan Chargers; Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,,,6,,DP Nannes,GAV Baxter,AM Saheba,20,6,T20,Indian Premier League,,21
392202,2009,30-04-2009,Centurion,SuperSport Park,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings; Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,,38,,,SK Raina,GAV Baxter,RE Koertzen,20,6,T20,Indian Premier League,,22
392203,2009,01-05-2009,East London,Buffalo Park,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders; Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,,9,,,JP Duminy,M Erasmus,SK Tarapore,20,6,T20,Indian Premier League,,23
392204,2009,01-05-2009,Durban,Kingsmead,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore; Kings XI Punjab,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,,8,,,Yuvraj Singh,HDPK Dharmasena,S Ravi,20,6,T20,Indian Premier League,,24
392205,2009,02-05-2009,Port Elizabeth,St George's Park,Deccan Chargers,Rajasthan Royals,Deccan Chargers; Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals,,,3,,YK Pathan,S Asnani,BG Jerling,20,6,T20,Indian Premier League,,25
392206,2009,02-05-2009,Johannesburg,New Wanderers Stadium,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings; Delhi Daredevils,Delhi Daredevils,field,Chennai Super Kings,,18,,,SB Jakati,DJ Harper,RE Koertzen,20,6,T20,Indian Premier League,,26
392207,2009,03-05-2009,Port Elizabeth,St George's Park,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab; Kolkata Knight Riders,Kolkata Knight Riders,bat,Kings XI Punjab,,,6,,DPMD Jayawardene,S Asnani,MR Benson,20,6,T20,Indian Premier League,,27
392208,2009,03-05-2009,Johannesburg,New Wanderers Stadium,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore; Mumbai Indians,Mumbai Indians,bat,Royal Challengers Bangalore,,,9,,JH Kallis,RE Koertzen,TH Wijewardene,20,6,T20,Indian Premier League,,28
392209,2009,04-05-2009,East London,Buffalo Park,Chennai Super Kings,Deccan Chargers,Chennai Super Kings; Deccan Chargers,Chennai Super Kings,bat,Chennai Super Kings,,78,,,MS Dhoni,BR Doctrove,M Erasmus,20,6,T20,Indian Premier League,,29
392210,2009,05-05-2009,Durban,Kingsmead,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab; Rajasthan Royals,Kings XI Punjab,field,Rajasthan Royals,,78,,,GC Smith,SS Hazare,IL Howell,20,6,T20,Indian Premier League,,30
392211,2009,05-05-2009,Durban,Kingsmead,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils; Kolkata Knight Riders,Kolkata Knight Riders,bat,Delhi Daredevils,,,9,,G Gambhir,GAV Baxter,IL Howell,20,6,T20,Indian Premier League,,31
392212,2009,06-05-2009,Centurion,SuperSport Park,Deccan Chargers,Mumbai Indians,Deccan Chargers; Mumbai Indians,Deccan Chargers,bat,Deccan Chargers,,19,,,RG Sharma,MR Benson,HDPK Dharmasena,20,6,T20,Indian Premier League,,32
392213,2009,07-05-2009,Centurion,SuperSport Park,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore; Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,,,7,,A Singh,K Hariharan,DJ Harper,20,6,T20,Indian Premier League,,33
392214,2009,07-05-2009,Centurion,SuperSport Park,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings; Kings XI Punjab,Chennai Super Kings,bat,Chennai Super Kings,,12,,D/L,ML Hayden,DJ Harper,TH Wijewardene,20,6,T20,Indian Premier League,,34
392215,2009,08-05-2009,East London,Buffalo Park,Delhi Daredevils,Mumbai Indians,Delhi Daredevils; Mumbai Indians,Mumbai Indians,bat,Delhi Daredevils,,,7,,A Nehra,M Erasmus,SK Tarapore,20,6,T20,Indian Premier League,,35
392216,2009,09-05-2009,Kimberley,De Beers Diamond Oval,Deccan Chargers,Kings XI Punjab,Deccan Chargers; Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,,,3,,DPMD Jayawardene,GAV Baxter,AM Saheba,20,6,T20,Indian Premier League,,36
